ノードＩＤ,緯度経度桁数コード,緯度,経度,高さ
00001B000000000309CEF6A66282FFC1,3,35.42.41.363,139.45.17.327,0,
00001B000000000309CEF4A662867FC1,3,35.42.40.919,139.45.18.060,0,
00001B000000000309CEF3A66286FFC1,3,35.42.40.772,139.45.18.133,0,
00001B000000000309CEF82662867FC1,3,35.42.41.618,139.45.18.090,0,
00001B000000000309CEF0A662B27FC1,3,35.42.40.168,139.45.26.814,0,
00001B000000000309CEEF2662B27FC1,3,35.42.39.841,139.45.26.853,0,
00001B000000000309CEEDA662B37FC1,3,35.42.39.506,139.45.27.018,0,
00001B000000000309CEEAA662B37FC1,3,35.42.38.988,139.45.27.027,0,
00001B000000000309CEDEA662B1FFC1,3,35.42.36.572,139.45.26.779,0,
00001B000000000309CEDEA662B67FC1,3,35.42.36.508,139.45.27.628,0,
00001B000000000309CEDE2662B8FFC1,3,35.42.36.472,139.45.28.107,0,
00001B000000000309CEDA2662B57FC1,3,35.42.35.607,139.45.27.454,0,
00001B000000000309CEF0A662C1FFC1,3,35.42.40.174,139.45.29.928,0,
00001B000000000309CEEA2662BA7FC1,3,35.42.38.888,139.45.28.416,0,
00001B000000000309CEE9A662C0FFC1,3,35.42.38.792,139.45.29.791,0,
00001B000000000309CEDD2662BF7FC1,3,35.42.36.284,139.45.29.446,0,
00001B000000000309CECFA662BCFFC1,3,35.42.33.564,139.45.28.985,0,
00001B000000000309CECDA662C57FC1,3,35.42.33.164,139.45.30.651,0,
00001B000000000309CED5A662C6FFC1,3,35.42.34.738,139.45.30.987,0,
00001B000000000309CED5A662C8FFC1,3,35.42.34.726,139.45.31.342,0,
00001B000000000309CED52662D8FFC1,3,35.42.34.656,139.45.34.517,0,
00001B000000000309CEDEA662DAFFC1,3,35.42.36.503,139.45.34.928,0,
00001B000000000309CEDE2662D7FFC1,3,35.42.36.427,139.45.34.328,0,
00001B000000000309CECFA662D97FC1,3,35.42.33.551,139.45.34.668,0,
00001B000000000309CEC72662DA7FC1,3,35.42.31.861,139.45.34.889,0,
00001B000000000309CECC2662CB7FC1,3,35.42.32.885,139.45.31.806,0,
00001B000000000309CEC92662D47FC1,3,35.42.32.263,139.45.33.601,0,
00001B000000000309CEC6A662DC7FC1,3,35.42.31.709,139.45.35.289,0,
00001B000000000309CEC62662E0FFC1,3,35.42.31.686,139.45.36.133,0,
00001B000000000309CEDFA662C7FFC1,3,35.42.36.725,139.45.31.175,0,
