リンクＩＤ,起点ノードID,終点ノードID,経路の種類,供用開始時間,供用終了時間,供用開始日,供用終了日,供用制限曜日,方向性,通行制限,有効幅員,有効幅員緯度,有効幅員経度,縦断勾配1,縦断勾配1緯度,縦断勾配1経度,縦断勾配2,横断勾配,横断勾配緯度,横断勾配経度,路面状況,段差,段差緯度,段差経度,最小階段段数,最大階段段数,手すり,屋根の有無,蓋のない溝、水路の有無,バス停の有無,バス停の緯度,バス停の経度,視覚障害者誘導用ブロック,補助施設の設置状況,補助施設の緯度,補助施設の経度,エレベーター種別,エレベーターの緯度,エレベーターの経度,信号の有無,信号の緯度,信号の経度,信号種別,日交通量,主な利用者,通り名称または交差点名称,エスコートゾーン,リンク延長
00001B000000000309CF1BA662D0FFC2,00001B000000000309CF1BA662D0FFC1,00001B000000000309CF1B2662D0FFC1,4,,,,,,0,0,3,35.42.48.742,139.45.32.976,0,,,0,0,,,0,1,35.42.48.777,139.45.32.969,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,3
00001B000000000309CF1B2662D0FFC2,00001B000000000309CF1B2662D0FFC1,00001B000000000309CF1B2662D17FC1,4,,,,,,0,0,3,35.42.48.655,139.45.32.999,0,,,0,0,,,0,1,35.42.48.637,139.45.33.004,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,2.4
00001B000000000309CF24A662CEFFC2,00001B000000000309CF24A662CE7FC1,00001B000000000309CF24A662CEFFC1,4,,,,,,0,0,3,35.42.50.544,139.45.32.505,0,,,0,0,,,0,1,35.42.50.566,139.45.32.501,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,1.9
00001B000000000309CF242662CEFFC2,00001B000000000309CF24A662CEFFC1,00001B000000000309CF242662CEFFC1,4,,,,,,0,0,3,35.42.50.484,139.45.32.520,0,,,0,0,,,0,1,35.42.50.470,139.45.32.526,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,1.8
00001B000000000309CF2F2662CBFFC3,00001B000000000309CF2F2662CBFFC2,00001B000000000309CF2F2662CBFFC1,4,,,,,,0,0,3,35.42.52.673,139.45.31.960,0,,,0,0,,,0,1,35.42.52.693,139.45.31.956,0,0,0,0,0,0,,,1,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,1.5
00001B000000000309CF2F2662CBFFC4,00001B000000000309CF2F2662CBFFC1,00001B000000000309CF2EA662CBFFC1,4,,,,,,0,0,3,35.42.52.616,139.45.31.975,0,,,0,0,,,0,1,35.42.52.594,139.45.31.982,0,0,0,0,0,0,,,1,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,2.1
00001B000000000309CF342662CA7FC1,00001B000000000309CF34A662CA7FC1,00001B000000000309CF342662CAFFC1,5,,,,,,0,0,3,35.42.53.673,139.45.31.693,0,,,0,0,,,0,1,35.42.53.713,139.45.31.683,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,2.5
00001B000000000309CF342662CAFFC2,00001B000000000309CF342662CAFFC1,00001B000000000309CF33A662CAFFC1,5,,,,,,0,0,3,35.42.53.603,139.45.31.712,0,,,0,0,,,0,1,35.42.53.583,139.45.31.719,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,1.9
00001B000000000309CF38A662C37FC1,00001B000000000309CF38A662C2FFC1,00001B000000000309CF38A662C3FFC1,1,,,,,,0,0,3,35.42.54.578,139.45.30.238,5.2,35.42.54.585,139.45.30.265,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,,0,3.8
00001B000000000309CF392662C5FFC1,00001B000000000309CF392662C47FC1,00001B000000000309CF392662C7FFC1,1,,,,,,0,0,3,35.42.54.654,139.45.30.799,3.5,35.42.54.651,139.45.30.755,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,3,35.42.54.696,139.45.31.190,1,,0,,0,19.8
00001B000000000309CF36A662BF7FC1,00001B000000000309CF34A662BC7FC1,00001B000000000309CF38A662C2FFC1,1,,,,,,0,0,3,35.42.54.168,139.45.29.496,5.2,35.42.54.245,139.45.29.572,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,,0,41.5
00001B000000000309CF342662BB7FC1,00001B000000000309CF33A662BB7FC1,00001B000000000309CF342662BBFFC1,1,,,,,,0,0,3,35.42.53.635,139.45.28.658,3.5,35.42.53.615,139.45.28.630,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,,0,4
00001B000000000309CF312662B6FFC1,00001B000000000309CF30A662B67FC1,00001B000000000309CF312662B77FC1,5,,,,,,0,0,3,35.42.53.021,139.45.27.770,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,,0,5.7
00001B000000000309CF32A662B97FC1,00001B000000000309CF312662B77FC1,00001B000000000309CF33A662BB7FC1,1,,,,,,0,0,2,35.42.53.334,139.45.28.229,3.5,35.42.53.353,139.45.28.255,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,,0,24.4
00001B000000000309CF2F2662B47FC1,00001B000000000309CF2DA662B27FC1,00001B000000000309CF302662B5FFC1,1,,,,,,0,0,3,35.42.52.617,139.45.27.202,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,,0,22.3
00001B000000000309CF2D2662B1FFC2,00001B000000000309CF2D2662B1FFC1,00001B000000000309CF2DA662B1FFC1,5,,,,,,0,0,3,35.42.52.271,139.45.26.749,0,35.42.52.274,139.45.26.749,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,2,35.42.52.232,139.45.26.719,0,,0,,0,3.1
00001B000000000309CF2C2662B0FFC1,00001B000000000309CF2B2662B07FC1,00001B000000000309CF2D2662B1FFC1,1,,,,,,0,0,3,35.42.52.057,139.45.26.594,3.5,35.42.52.129,139.45.26.643,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,2,35.42.52.232,139.45.26.719,0,,0,,0,12.2
00001B000000000309CF0C26629D7FC1,00001B000000000309CF06266297FFC1,00001B000000000309CF122662A2FFC1,1,,,,,,0,0,2,35.42.45.624,139.45.22.644,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,,0,91.4
00001B000000000309CEF7A66289FFC1,00001B000000000309CEF6266287FFC1,00001B000000000309CEF926628C7FC1,1,,,,,,0,0,3,35.42.41.544,139.45.18.793,0,,,0,0,,,0,0,,,0,0,0,0,0,1,35.42.41.386,139.45.18.452,0,0,,,0,,,0,,,0,,0,,0,27.1
00001B000000000309CEFB26628E7FC1,00001B000000000309CEF926628C7FC1,00001B000000000309CEFDA662907FC1,1,,,,,,0,0,2,35.42.42.287,139.45.19.621,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,,0,35.1
00001B000000000309CF022662947FC1,00001B000000000309CEFEA662917FC1,00001B000000000309CF06266297FFC1,1,,,,,,0,0,2,35.42.43.669,139.45.20.898,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,,0,57.7
00001B000000000309CEF5A66287FFC1,00001B000000000309CEF5266287FFC1,00001B000000000309CEF6266287FFC1,1,,,,,,0,0,3,35.42.41.131,139.45.18.361,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,,0,7.8
00001B000000000309CEF42662887FC1,00001B000000000309CEF3A66288FFC1,00001B000000000309CEF5266287FFC1,1,,,,,,0,0,2,35.42.40.868,139.45.18.422,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,‹eâ’Ê‚è,0,9.4
00001B000000000309CEE12662E07FC1,00001B000000000309CEDFA662E07FC1,00001B000000000309CEE32662DFFFC1,1,,,,,,0,0,3,35.42.37.082,139.45.36.003,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,1,0,,,0,,,0,,,0,,0,–{‹½’Ê‚è,0,20.6
00001B000000000309CEFE266290FFC2,00001B000000000309CEFE266290FFC1,00001B000000000309CEFEA662917FC1,4,,,,,,0,0,3,35.42.42.875,139.45.20.171,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,,0,3.3
00001B000000000309CEFDA662907FC2,00001B000000000309CEFDA662907FC1,00001B000000000309CEFE266290FFC1,4,,,,,,0,0,3,35.42.42.788,139.45.20.085,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,,0,3.5
00001B000000000309CEF3266288FFC1,00001B000000000309CEF2A662897FC1,00001B000000000309CEF3A66288FFC1,4,,,,,,0,0,2,35.42.40.646,139.45.18.553,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,‹eâ’Ê‚è,0,5.8
00001B000000000309CEF0A66289FFC1,00001B000000000309CEEF26628A7FC1,00001B000000000309CEF2A662897FC1,1,,,,,,0,0,1,35.42.40.183,139.45.18.732,3.5,35.42.40.218,139.45.18.718,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,‹eâ’Ê‚è,0,24.2
00001B000000000309CEEEA6628A7FC2,00001B000000000309CEEEA6628A7FC1,00001B000000000309CEEF26628A7FC1,4,,,,,,0,0,2,35.42.39.762,139.45.18.874,0,,,0,0,,,0,0,,,0,0,0,0,0,0,,,0,0,,,0,,,0,,,0,,0,‹eâ’Ê‚è,0,2.7
